id,x,y,elevation,slope,road_density,gdp_per_capita,pop_density,river_dist,farmland_ratio,y_area_change,t1_PD,t1_AI,t1_CONN,t1_FRAC,t2_PD,t2_AI,t2_CONN,t2_FRAC,true_type,q_gdp,q_pop,q_interaction,interaction_type
0,0.0,0.0,392.63135043158576,21.035075023976987,2.3929370772267635,8.522037719336176,145.43879961636821,0.4971368413460577,0.06969681402693947,1.9442240703558493,400.0,56.25,1.0,1.2090619551221675,10000.0,0.0,0.25,1.0,fragmenting,0.990727646752912,0.9948334530711962,0.9966743432629136,bivariate_enhancement
1,5.0,0.0,188.21910056632538,9.67883892035141,2.575239585672837,10.333872157083434,327.13857727437744,3.7586337130236034,0.06162252065604257,2.2696597821845206,2000.0,25.0,0.5,1.3652123889719707,2500.0,35.59322033898305,0.8,1.0459431618637296,expanding,0.9874201500415473,0.9918519973079893,0.994822862654489,bivariate_enhancement
2,10.0,0.0,-16.193149298935055,0.0,2.7575420941189113,0.0,508.83835493238666,7.0201305847011515,0.3682516309441596,-2.7202444641171937,2000.0,25.0,0.3333333333333333,1.3652123889719707,400.0,56.25,1.0,1.2090619551221675,aggregating,0.9843140315506432,0.9882254940451041,0.992572477753801,bivariate_enhancement
3,15.0,0.0,176.56280668056218,9.031267037809009,1.8067180612279334,0.0,337.49972739505586,4.745503344032121,0.3258767044854577,1.0063349785432167,2000.0,25.0,0.5,1.3652123889719707,2500.0,35.59322033898305,0.8,1.0459431618637296,expanding,0.9819710979742705,0.984623127791441,0.990242647632482,bivariate_enhancement
4,20.0,0.0,457.5783639588944,24.643242442160798,0.6040881302620557,1.6924218583101527,87.70812092542721,1.2406263006194058,0.21253190565628796,-1.5799329163152667,769.2307692307693,44.44444444444444,0.5,1.2549471261506067,769.2307692307693,44.44444444444444,0.5,1.2549471261506067,stable,0.9807873552865791,0.9818491002093382,0.9883973549166472,bivariate_enhancement
5,25.0,0.0,576.7295634079208,30.0,0.08634968146091793,1.6962561171525061,0.0,0.0,0.1840841759539592,2.1679686169471437,769.2307692307693,44.44444444444444,0.5,1.2549471261506067,769.2307692307693,44.44444444444444,0.5,1.2549471261506067,stable,0.9807594321651982,0.980266415216161,0.987466944908078,bivariate_enhancement
6,30.0,0.0,589.045774946946,30.0,0.0,0.0,0.0,0.0,0.18884626467759594,3.7753804894340353,769.2307692307693,44.44444444444444,0.5,1.2549471261506067,769.2307692307693,44.44444444444444,0.5,1.2549471261506067,stable,0.9814278202026835,0.9796073950958387,0.98729539020006,bivariate_enhancement
7,35.0,0.0,384.4728659478479,20.58182588599155,0.0,4.599929465748327,152.69078582413522,0.0,0.22784658355418522,4.077586234564572,400.0,56.25,1.0,1.2090619551221675,10000.0,0.0,0.25,1.0,fragmenting,0.9821889290849434,0.9792290859016598,0.9874492526460638,bivariate_enhancement
8,40.0,0.0,-80.36698769699893,0.0,1.043132458809196,0.0,565.8817668417769,0.0,0.5449470374588103,-0.2690453125599679,2000.0,25.0,0.5,1.3652123889719707,2500.0,35.59322033898305,0.8,1.0459431618637296,expanding,0.9827086419645426,0.9785303927667206,0.9877099350000116,bivariate_enhancement
9,45.0,0.0,-395.7017720877822,0.0,1.258050143717527,0.0,846.1793529669176,0.33996992012717686,0.8982585776708951,2.463844864741874,400.0,56.25,1.0,1.2090619551221675,10000.0,0.0,0.25,1.0,fragmenting,0.9830247775602172,0.9774006054956146,0.9880902901501288,bivariate_enhancement
